"n","true_dist","assumed_dist","parameter","true_value","mean_estimate","bias","mean_abs_error","parameter_mse","parameter_rmse","true_dist_label","assumed_dist_label"
500,"std","sged","beta1",0.9,0.879732635600099,-0.0202673643999015,0.0491243008725668,0.00673436964158128,0.0820632051627359,"Student-t","Skewed GED"
500,"std","sged","gamma1",0.1,0.0748939067932234,-0.0251060932067766,0.0651725085627848,0.00709464599070713,0.0842297215400071,"Student-t","Skewed GED"
500,"std","sged","mu",0,0.00189091810680437,0.00189091810680437,0.0212678528169789,0.000717328443808445,0.0267829879552011,"Student-t","Skewed GED"
500,"std","sged","omega",-0.1,-0.12262709021234,-0.0226270902123404,0.0516014577734451,0.00796186201461482,0.0892292665811774,"Student-t","Skewed GED"
500,"std","sged","shape",8,1.5305095154349,-6.4694904845651,6.4694904845651,41.8794557912445,6.47143382808204,"Student-t","Skewed GED"
500,"std","sged","skew",NA,1.00179734543627,NA,NA,NA,NA,"Student-t","Skewed GED"
500,"std","sstd","alpha1",0.15,0.160297353510823,0.0102973535108232,0.0403769734627229,0.00268025638683379,0.0517711926348408,"Student-t","Skewed Student-t"
500,"std","sstd","beta1",0.9,0.880483268701062,-0.0195167312989382,0.048373454758306,0.00638221911912103,0.0798887921996636,"Student-t","Skewed Student-t"
500,"std","sstd","gamma1",0.1,0.0754262917107278,-0.0245737082892722,0.0637197426429095,0.00680112254000298,0.0824689186300086,"Student-t","Skewed Student-t"
500,"std","sstd","mu",0,0.00177479758569325,0.00177479758569325,0.020963390537283,0.000695008911476077,0.0263630216681639,"Student-t","Skewed Student-t"
500,"std","sstd","omega",-0.1,-0.12104691717535,-0.02104691717535,0.0505553641413255,0.0074588033413609,0.0863643638392647,"Student-t","Skewed Student-t"
500,"std","sstd","shape",8,10.9153348960744,2.91533489607439,4.0557029684001,63.6790221788313,7.97991366988587,"Student-t","Skewed Student-t"
500,"std","sstd","skew",NA,1.00176889874261,NA,NA,NA,NA,"Student-t","Skewed Student-t"
500,"std","std","alpha1",0.15,0.160074469660626,0.0100744696606262,0.0398850678853579,0.00257867639578462,0.050780669509023,"Student-t","Student-t"
500,"std","std","beta1",0.9,0.880962524347653,-0.0190374756523474,0.0477438981792829,0.006128256256278,0.0782831799065291,"Student-t","Student-t"
500,"std","std","gamma1",0.1,0.0755410300249706,-0.0244589699750294,0.06330835028315,0.00670474840041175,0.081882528053375,"Student-t","Student-t"
500,"std","std","mu",0,0.00152142364940433,0.00152142364940433,0.0201266107447132,0.000646146746937123,0.02541941673086,"Student-t","Student-t"
500,"std","std","omega",-0.1,-0.120624105675186,-0.0206241056751856,0.0498918866806517,0.00717880282572706,0.0847278161274505,"Student-t","Student-t"
500,"std","std","shape",8,11.2056619267588,3.20566192675882,4.37082503849732,116.172251575065,10.7783232265072,"Student-t","Student-t"
500,"std","std","skew",NA,NA,NA,NA,NA,NA,"Student-t","Student-t"
1000,"ged","ged","alpha1",0.15,0.155160111310719,0.00516011131071942,0.0284771711961414,0.0012657967086241,0.0355780368854734,"GED","GED"
1000,"ged","ged","beta1",0.9,0.89112233423557,-0.00887766576443027,0.0282445303675408,0.00211853307508597,0.0460275251896728,"GED","GED"
1000,"ged","ged","gamma1",0.1,0.091871627311591,-0.00812837268840901,0.0367893934645104,0.00213639046455002,0.0462211041035371,"GED","GED"
1000,"ged","ged","mu",0,-0.000251999225331333,-0.000251999225331333,0.0143879853834523,0.000318082701031704,0.0178348731711696,"GED","GED"
1000,"ged","ged","omega",-0.1,-0.109378682713477,-0.0093786827134767,0.0293091266760161,0.00246672368877568,0.0496661221435264,"GED","GED"
1000,"ged","ged","shape",1.5,1.51634371640084,0.0163437164008427,0.0823476624620222,0.0107164948143798,0.103520504318612,"GED","GED"
1000,"ged","ged","skew",NA,NA,NA,NA,NA,NA,"GED","GED"
1000,"ged","norm","alpha1",0.15,0.155302079238487,0.00530207923848709,0.02842739137081,0.00125168676659918,0.035379185499375,"GED","Normal"
1000,"ged","norm","beta1",0.9,0.891576116053151,-0.0084238839468495,0.0280200211855273,0.00160821273085615,0.0401025277364925,"GED","Normal"
1000,"ged","norm","gamma1",0.1,0.0923784816966856,-0.00762151830331438,0.037883158589773,0.00224517292174137,0.0473832557106555,"GED","Normal"
1000,"ged","norm","mu",0,-0.000334575238797767,-0.000334575238797767,0.0149230080902738,0.000343430990464687,0.0185318911734525,"GED","Normal"
1000,"ged","norm","omega",-0.1,-0.10614596579982,-0.00614596579981991,0.0285828139047181,0.00170571380841229,0.0413002882364311,"GED","Normal"
1000,"ged","norm","shape",1.5,NA,NA,NA,NA,NA,"GED","Normal"
1000,"ged","norm","skew",NA,NA,NA,NA,NA,NA,"GED","Normal"
