"n","true_dist","assumed_dist","convergence_rate","mean_AIC","sd_AIC","mean_BIC","sd_BIC","mean_loglik","mean_MSE","mean_RMSE","mean_MAE","median_MSE","median_RMSE","median_MAE","mean_sigma_rmse","median_sigma_rmse","mean_variance_rmse","median_variance_rmse","true_dist_label","assumed_dist_label"
500,"std","ged",1,1.82036645187992,0.124549223379816,1.87094174906098,0.124549223379816,-449.091612969979,0.00310150450832057,0.0507996387558543,0.040141605520316,0.00225139100218033,0.0474488068799387,0.0378029370054361,0.0507996387558543,0.0474488068799387,0.0738220666622287,0.0649399439303677,"Student-t","GED"
500,"std","norm",1,1.83975407576341,0.128184496925693,1.88190015674763,0.128184496925693,-454.938518940851,0.00346087501273852,0.0536047861116137,0.042160534063389,0.00247886011325612,0.0497881171539289,0.039234930747822,0.0536047861116137,0.0497881171539289,0.0789248179565192,0.0681562795374715,"Student-t","Normal"
500,"std","sged",1,1.82172208294501,0.124528111209769,1.88072659632292,0.124528111209769,-448.430520736253,0.00316907261552777,0.0512581261211223,0.0404783333026457,0.00225252592791536,0.0474607821375906,0.0379708322006323,0.0512581261211223,0.0474607821375906,0.0746439438791182,0.0650288374817255,"Student-t","Skewed GED"
500,"std","sstd",1,1.81908047937545,0.124115649605493,1.87808499275336,0.124115649605493,-447.770119843862,0.0031433219606573,0.0509201247100509,0.0402722311123105,0.00219885528566498,0.0468919530852465,0.0375485944478861,0.0509201247100509,0.0468919530852465,0.0739329495318441,0.0647483769307104,"Student-t","Skewed Student-t"
500,"std","std",1,1.81724985498601,0.124194292005763,1.86782515216708,0.124194292005763,-448.312463746504,0.0030696626806935,0.0505139318380916,0.0400059266830685,0.00220746230389815,0.0469836375908247,0.037239529448469,0.0505139318380916,0.0469836375908247,0.0730699572549592,0.0642837077531603,"Student-t","Student-t"
1000,"ged","ged",1,1.82476875814818,0.0840928630562968,1.85421528982207,0.0840928630562968,-906.38437907409,0.00122825510079233,0.032692503119989,0.0258620046233346,0.000982204857841084,0.0313401380120234,0.0248971750622949,0.032692503119989,0.0313401380120234,0.0466571867019259,0.043934041070219,"GED","GED"
1000,"ged","norm",1,1.84229724594779,0.0837026759525067,1.8668360223427,0.0837026759525067,-916.148622973894,0.00124400727633805,0.0329499374575487,0.0260267172013332,0.0010147180106158,0.0318546385231431,0.0252071344974543,0.0329499374575487,0.0318546385231431,0.0471308532036804,0.0441386627793648,"GED","Normal"
1000,"ged","sged",1,1.82577888929725,0.0841189388562943,1.86013317625012,0.0841189388562943,-905.889444648623,0.0012324283226453,0.0327367752941107,0.0258904348030779,0.0010076505088155,0.0317435111987138,0.0250633887567061,0.0327367752941107,0.0317435111987138,0.0467421859206022,0.0436200579316375,"GED","Skewed GED"
1000,"ged","sstd",1,1.82892763281013,0.0838321822266574,1.863281919763,0.0838321822266574,-907.463816405065,0.00128270409793603,0.0333400665068186,0.0263892185634305,0.00102010468096046,0.0319390724383429,0.0253715803184979,0.0333400665068186,0.0319390724383429,0.0477022583259909,0.0441958337882398,"GED","Skewed Student-t"
1000,"ged","std",1,1.82781776389361,0.0837997193605866,1.8572642955675,0.0837997193605866,-907.908881946806,0.00127550905074876,0.0332655929516695,0.026339281695101,0.00102446264939084,0.0320071894314153,0.0253687514533961,0.0332655929516695,0.0320071894314153,0.0475787096743291,0.0444262862979276,"GED","Student-t"
1000,"norm","ged",1,1.84352782423849,0.0780121088228472,1.87297435591238,0.0780121088228472,-915.763912119246,0.000852697174220805,0.0272357265269465,0.0216824001019706,0.000704442944936001,0.0265413429853308,0.0211720894132764,0.0272357265269465,0.0265413429853308,0.0376423636725944,0.0362652858094176,"Normal","GED"
1000,"norm","norm",1,1.84258711501649,0.0780033058613166,1.8671258914114,0.0780033058613166,-916.293557508244,0.000852833535699309,0.0272439304605467,0.021687192257615,0.000715846004393367,0.0267552984928075,0.0211843519954239,0.0272439304605467,0.0267552984928075,0.0376513709789905,0.0360670866591994,"Normal","Normal"
1000,"norm","sged",1,1.84456216220874,0.0780254433881973,1.87891644916161,0.0780254433881973,-915.281081104368,0.000852367254870175,0.0272320944505689,0.0216822201005768,0.000703342735122662,0.0265206091460768,0.0209867560329058,0.0272320944505689,0.0265206091460768,0.0376465878343122,0.0358849574313902,"Normal","Skewed GED"
